GW,id,value,opponent,total_points
1,453,50,10,0
1,141,55,24,0
1,772,55,1,6
1,15,70,15,6
1,481,50,23,9
1,29,40,19,0
1,204,75,25,0
1,33,50,19,1
1,626,55,24,0
1,555,40,23,0
1,449,45,10,0
1,881,45,3,15
1,186,65,9,0
1,191,45,25,1
1,219,55,11,0
1,832,50,27,0
1,684,105,15,6
1,11,120,15,0
1,20,55,15,0
1,100,45,6,0
1,17,60,15,2
1,557,50,29,6
1,411,50,3,6
1,261,55,21,0
1,734,55,22,1
1,262,50,21,0
1,151,50,25,0
1,38,45,19,2
1,67,65,23,1
1,119,60,14,1
1,373,70,10,2
1,467,60,10,0
1,177,45,9,0
1,455,45,10,-1
1,360,40,29,0
1,704,60,7,1
1,266,80,21,10
1,731,60,22,0
1,249,65,21,5
1,504,45,10,1
1,28,45,19,0
1,69,55,0,0
1,534,45,10,0
1,640,45,0,0
1,358,55,24,1
1,259,50,21,0
1,73,45,19,3
1,655,40,21,0
1,831,55,27,2
1,118,50,14,0
1,397,95,30,8
1,51,60,19,2
1,495,45,9,0
1,810,65,11,0
1,385,55,30,14
1,429,45,3,7
1,582,45,9,0
1,55,45,0,0
1,417,45,23,0
1,602,45,25,0
1,706,45,7,0
1,808,80,11,1
1,428,40,3,0
1,849,55,26,2
1,196,40,19,0
1,812,50,11,0
1,620,40,23,0
1,700,45,7,1
1,48,60,19,0
1,10,50,15,0
1,500,45,30,0
1,8,45,15,0
1,82,70,22,-1
1,838,40,27,0
1,327,50,26,0
1,313,65,6,1
1,32,50,19,2
1,724,45,0,0
1,735,50,22,1
1,458,50,10,0
1,829,50,27,2
1,212,80,14,2
1,393,95,30,12
1,167,50,9,0
1,413,45,23,0
1,764,45,1,6
1,437,55,3,8
1,765,45,1,6
1,243,55,21,0
1,116,45,14,0
1,819,45,27,1
1,540,50,11,0
1,441,45,3,2
1,784,45,1,4
1,703,40,7,0
1,121,55,14,0
1,405,45,23,0
1,407,45,23,0
1,432,50,3,6
1,301,45,24,0
1,300,50,6,6
